timestamp_s,x_m,y_m,z_m,pitch_deg,yaw_deg,roll_deg
5.900000000,0.055077095,0.004884722,-1.545791507,5.596545,0.392707,-10.835315
5.933333333,0.029199310,-0.010175359,-1.613023400,5.869016,0.349153,-11.283912
5.966666666,-0.002741265,-0.026811324,-1.668123841,6.240106,0.249466,-11.813717
6.000000000,-0.039375033,-0.040674672,-1.723640800,6.514952,0.131846,-12.302635
6.033333333,-0.077414118,-0.053578783,-1.773654699,6.815937,0.032051,-12.649666
6.066666666,-0.117106266,-0.068257734,-1.825934052,7.232661,-0.232129,-12.714238
6.100000000,-0.155121520,-0.066566780,-1.895263791,7.298414,-0.292976,-12.496845
6.133333333,-0.191653728,-0.051032867,-1.984007239,7.182115,-0.293012,-11.956504
6.166666666,-0.236977786,-0.057215124,-2.047838688,7.180873,-0.365701,-11.846774
6.200000000,-0.293342859,-0.072124444,-2.097856283,7.430044,-0.341581,-12.022339
6.233333333,-0.349050969,-0.085284092,-2.149750948,7.687315,-0.327315,-12.281963
6.266666666,-0.408951342,-0.101531841,-2.210955143,8.025519,-0.371270,-12.496839
6.300000000,-0.468859941,-0.115302674,-2.274851322,8.222680,-0.392974,-12.628791
6.333333333,-0.527755916,-0.122513302,-2.347495556,8.307189,-0.405772,-12.637368
6.366666666,-0.590165377,-0.129413545,-2.421608686,8.392525,-0.418644,-12.645840
6.400000000,-0.656151116,-0.136436924,-2.497277737,8.477857,-0.431530,-12.654333
6.433333333,-0.725890458,-0.144172147,-2.575229406,8.563188,-0.444433,-12.662847
6.466666666,-0.798841000,-0.152164251,-2.655198812,8.648517,-0.457351,-12.671382
6.500000000,-0.874713600,-0.160766080,-2.737579346,8.733845,-0.470285,-12.679939
6.533333333,-0.953559399,-0.169638723,-2.822133064,8.819170,-0.483235,-12.688517
6.566666666,-1.035387039,-0.179316491,-2.909401655,8.904494,-0.496201,-12.697117
6.600000000,-1.120503306,-0.189677075,-2.998948812,8.989817,-0.509183,-12.705738
6.633333333,-1.208730221,-0.200165197,-3.090662718,9.075136,-0.522181,-12.714381
6.666666666,-1.299537301,-0.210835010,-3.184646845,9.160453,-0.535195,-12.723046
6.700000000,-1.393368363,-0.222234502,-3.280560732,9.245768,-0.548225,-12.731732
6.733333333,-1.490264297,-0.233382076,-3.377413273,9.331081,-0.561271,-12.740441
6.766666666,-1.594083786,-0.247680575,-3.466320515,9.449005,-0.606530,-12.979293
6.800000000,-1.697137952,-0.258806497,-3.565716267,9.534395,-0.620012,-12.988760
6.833333333,-1.803406835,-0.270618379,-3.667317152,9.619511,-0.633426,-12.998085
6.866666666,-1.913240910,-0.282457173,-3.770079851,9.704624,-0.646858,-13.007433
6.900000000,-2.026444197,-0.294268459,-3.873934031,9.789736,-0.660308,-13.016803
6.933333333,-2.143178463,-0.305838734,-3.978217602,9.874844,-0.673775,-13.026196
6.966666666,-2.263155699,-0.317234904,-4.084255695,9.959952,-0.687259,-13.035612
7.000000000,-2.393866539,-0.346588790,-4.183216572,10.107535,-0.755129,-12.907218
7.033333333,-2.521490335,-0.352161884,-4.279571533,10.216793,-0.764072,-13.369459
7.066666666,-2.650921106,-0.364104241,-4.389008522,10.356309,-0.790060,-13.274795
7.100000000,-2.783913374,-0.374984503,-4.499376297,10.441397,-0.804072,-13.284243
7.133333333,-2.919580936,-0.385661870,-4.610808849,10.535477,-0.812512,-13.259147
7.166666666,-3.058114052,-0.396255523,-4.723673344,10.623022,-0.829625,-13.246655
7.200000000,-3.199653625,-0.406894833,-4.837855339,10.708618,-0.853893,-13.244295
7.233333333,-3.343897343,-0.417908609,-4.953422546,10.800406,-0.895881,-13.269509
7.266666666,-3.490950108,-0.428996086,-5.071365356,10.885322,-0.946814,-13.331585
7.300000000,-3.641099215,-0.439751625,-5.191061974,10.967890,-0.982489,-13.377947
7.333333333,-3.794094563,-0.450793922,-5.314273357,11.051969,-1.021497,-13.393335
7.366666666,-3.949875593,-0.462225825,-5.439665794,11.146552,-0.976329,-13.228386
7.400000000,-4.108972549,-0.474888742,-5.565798759,11.251177,-0.842462,-12.946618
7.433333333,-4.271189690,-0.489469856,-5.694426537,11.360968,-0.573570,-12.651226
7.466666666,-4.439669132,-0.490254253,-5.817140579,10.819423,-0.100075,-14.037749
7.500000000,-4.604475498,-0.475853890,-5.883025169,10.666771,-0.244498,-15.281779
7.533333333,-4.770009041,-0.462844342,-5.964952946,11.105220,-0.128230,-15.327566
7.566666666,-4.944055080,-0.468851715,-6.092854500,11.218688,-0.070945,-15.093900
7.600000000,-5.120981693,-0.477302462,-6.220792770,11.383378,-0.044922,-14.505240
7.633333333,-5.300308228,-0.486249626,-6.350639820,11.543520,-0.096672,-14.007780
7.666666666,-5.482195377,-0.496167213,-6.482631207,11.668106,-0.112137,-13.532249
7.700000000,-5.666190147,-0.507185102,-6.616663456,11.923331,-0.156379,-13.003477
7.733333333,-5.853467941,-0.517956495,-6.750684261,12.029313,-0.181014,-12.590382
7.766666666,-6.043566227,-0.528462231,-6.886026382,12.191446,-0.253974,-12.326515
7.800000000,-6.236503124,-0.537180543,-7.021033764,12.276782,-0.261906,-12.324802
7.833333333,-6.431996346,-0.546201587,-7.156568050,12.362119,-0.269837,-12.323100
7.866666666,-6.629865170,-0.554860950,-7.293114185,12.447455,-0.277767,-12.321407
7.900000000,-6.830330372,-0.563274264,-7.430702209,12.532793,-0.285698,-12.319728
7.933333333,-7.033273697,-0.570783079,-7.568779469,12.618131,-0.293629,-12.318062
7.966666666,-7.238417149,-0.577570021,-7.707903862,12.703469,-0.301559,-12.316406
8.000000000,-7.445839405,-0.583963990,-7.847759247,12.788808,-0.309490,-12.314762
8.033333333,-7.655656815,-0.590006888,-7.989286900,12.874147,-0.317420,-12.313129
8.066666666,-7.868062019,-0.595534146,-8.132589340,12.959487,-0.325351,-12.311510
8.100000000,-8.082883835,-0.600119054,-8.277871132,13.044825,-0.333281,-12.309899
8.133333333,-8.299964905,-0.603463292,-8.424716949,13.130165,-0.341211,-12.308301
8.166666666,-8.519786835,-0.605281830,-8.573413849,13.215506,-0.349142,-12.306717
8.200000000,-8.742138863,-0.605078161,-8.723997116,13.300846,-0.357072,-12.305144
8.233333333,-8.966432571,-0.602465034,-8.876720428,13.386187,-0.365002,-12.303581
8.266666666,-9.192702293,-0.597151816,-9.031247139,13.471528,-0.372932,-12.302031
8.300000000,-9.420881271,-0.588832378,-9.187426567,13.556870,-0.380861,-12.300493
8.333333333,-9.650698662,-0.576713920,-9.345667839,13.642212,-0.388790,-12.298967
8.366666666,-9.881189346,-0.561254501,-9.507906914,13.727554,-0.396719,-12.297452
8.400000000,-10.111745834,-0.541530609,-9.671366692,13.812896,-0.404648,-12.295950
8.433333333,-10.342478752,-0.516957343,-9.835492134,13.898239,-0.412577,-12.294460
8.466666666,-10.572340965,-0.487396210,-10.002094269,13.983583,-0.420507,-12.292981
8.500000000,-10.800718307,-0.452995777,-10.170742989,14.068925,-0.428436,-12.291514
8.533333333,-11.026612282,-0.413713485,-10.341557503,14.154269,-0.436367,-12.290058
8.566666666,-11.249352455,-0.369368255,-10.514229774,14.239613,-0.444298,-12.288616
8.600000000,-11.468742371,-0.320181698,-10.687692642,14.324958,-0.452230,-12.287183
8.633333333,-11.683855057,-0.265910953,-10.861450195,14.410302,-0.460162,-12.285762
8.666666666,-11.893236160,-0.207620427,-11.034959793,14.495646,-0.468096,-12.284353
8.700000000,-12.096436501,-0.145692214,-11.208945274,14.580992,-0.476030,-12.282956
8.733333333,-12.292509079,-0.081162013,-11.383420944,14.666337,-0.483966,-12.281570
8.766666666,-12.481161118,-0.014438332,-11.558732986,14.751680,-0.491905,-12.280196
8.800000000,-12.662847519,0.053443961,-11.735245705,14.837025,-0.499845,-12.278832
8.833333333,-12.836091995,0.122238129,-11.914410591,14.922370,-0.507787,-12.277481
8.866666666,-13.001808167,0.191001594,-12.095324516,15.007716,-0.515731,-12.276140
8.900000000,-13.159629822,0.260487586,-12.276615143,15.093061,-0.523677,-12.274810
8.933333333,-13.309741974,0.330365926,-12.458002090,15.178407,-0.531625,-12.273491
8.966666666,-13.452238083,0.401109189,-12.638449669,15.263754,-0.539574,-12.272185
9.000000000,-13.586802483,0.472482294,-12.816644669,15.349097,-0.547525,-12.270891
9.033333333,-13.713472366,0.545591176,-12.992945671,15.434440,-0.555478,-12.269607
9.066666666,-13.832383156,0.620014787,-13.165884018,15.519785,-0.563433,-12.268335
9.100000000,-13.928461075,0.663949430,-13.347074509,17.973478,-3.031311,-8.688541
9.133333333,-14.013632774,0.704984128,-13.525576591,19.519183,-3.337678,-6.934663
9.166666666,-14.089388847,0.746645749,-13.703299522,20.645346,-2.842560,-5.749605
9.200000000,-14.155201912,0.785907030,-13.884402275,22.080856,-1.788822,-4.022615
9.233333333,-14.215568542,0.827004075,-14.065382004,23.000197,-0.842345,-2.928359
9.266666666,-14.269830704,0.868342817,-14.248339653,23.737421,0.038195,-1.844174
9.300000000,-14.319903374,0.910868108,-14.431779861,24.229915,0.858534,-1.006228
9.333333333,-14.368982315,0.953730226,-14.615313530,24.371156,1.638249,-0.172406
9.366666666,-14.416218758,0.997938395,-14.798275948,24.385955,1.988608,0.118287
9.400000000,-14.461170197,1.041797638,-14.984132767,24.338533,2.700859,0.834128
9.433333333,-14.506541252,1.084637642,-15.171885490,24.136036,3.209783,1.465683
9.466666666,-14.551442146,1.126531124,-15.361262321,23.925111,3.637314,2.000530
