timestamp_s,yaw_deg,pitch_deg,roll_deg
0.548368,0.048463,-1.163182,0.221717
0.549363,0.049478,-1.162892,0.222384
0.550358,0.049478,-1.161244,0.221768
0.551354,0.049478,-1.161586,0.221154
0.552349,0.050493,-1.160820,0.221362
0.553344,0.050493,-1.161132,0.220446
0.554340,0.050513,-1.161532,0.220606
0.555335,0.050533,-1.161642,0.221002
0.556330,0.050533,-1.161530,0.220562
0.557326,0.050554,-1.161187,0.221116
0.558321,0.050554,-1.160460,0.220522
0.559316,0.050554,-1.158801,0.220237
0.560311,0.050534,-1.156591,0.219265
0.561307,0.049519,-1.154143,0.218698
0.562302,0.048505,-1.152067,0.218283
0.563297,0.048486,-1.149314,0.217924
0.564292,0.048467,-1.147413,0.217107
0.565288,0.048467,-1.146531,0.216826
0.566283,0.048447,-1.146429,0.215174
0.567278,0.048448,-1.145874,0.214062
0.568273,0.048448,-1.146015,0.212344
0.569270,0.049444,-1.147316,0.210538
0.570264,0.050438,-1.148234,0.208816
0.571259,0.050437,-1.151217,0.207122
0.572254,0.051432,-1.152284,0.205186
0.573249,0.051412,-1.154270,0.202666
0.574246,0.052388,-1.156022,0.200435
0.575240,0.052368,-1.156232,0.198839
0.576235,0.052348,-1.156742,0.197927
0.577230,0.051354,-1.154270,0.198255
0.578226,0.050359,-1.152120,0.198431
0.579221,0.048370,-1.149975,0.198626
0.580217,0.047395,-1.146852,0.199794
0.581211,0.046402,-1.143581,0.199739
0.582206,0.045427,-1.141990,0.200224
0.583202,0.044452,-1.138273,0.200258
0.584197,0.044472,-1.137227,0.199745
0.585192,0.045487,-1.135106,0.198841
0.586187,0.045487,-1.134746,0.196667
0.587183,0.046502,-1.134156,0.195327
0.588178,0.047497,-1.134868,0.193076
0.589174,0.048492,-1.137021,0.190832
0.590168,0.049486,-1.137182,0.188747
0.591165,0.049485,-1.137873,0.186985
0.592161,0.049485,-1.138852,0.185601
0.593154,0.048492,-1.138459,0.184688
0.594151,0.047496,-1.138162,0.184300
0.595145,0.046502,-1.136198,0.184358
0.596140,0.045507,-1.134382,0.184713
0.597135,0.044513,-1.132039,0.185360
0.598131,0.044513,-1.129399,0.186133
0.599126,0.043519,-1.127830,0.186922
0.600121,0.043519,-1.126270,0.187615
0.601119,0.043520,-1.125460,0.188084
0.602112,0.043520,-1.124654,0.188551
0.603107,0.043539,-1.125738,0.189863
0.604102,0.043559,-1.125134,0.191025
0.605098,0.043578,-1.126116,0.191890
0.606093,0.043597,-1.127094,0.192605
0.607088,0.043597,-1.128295,0.192474
0.608083,0.043597,-1.129126,0.192418
0.609079,0.042601,-1.131412,0.192379
0.610074,0.042601,-1.131003,0.192540
0.611069,0.041587,-1.132124,0.192238
0.612065,0.041567,-1.132541,0.192281
0.613060,0.040533,-1.132806,0.191570
0.614057,0.040493,-1.133555,0.190763
0.615051,0.040474,-1.132865,0.191026
0.616046,0.040455,-1.131084,0.190995
0.617041,0.040436,-1.128952,0.190600
0.618037,0.040436,-1.127131,0.190764
0.619032,0.040437,-1.125401,0.190565
0.620027,0.040457,-1.124406,0.191359
0.621022,0.040476,-1.124296,0.191936
0.622018,0.040496,-1.125117,0.192224
0.623014,0.041511,-1.125756,0.192133
0.624007,0.041530,-1.126830,0.191915
0.625003,0.041550,-1.128819,0.191413
0.625998,0.041550,-1.129522,0.189847
0.626993,0.041550,-1.130847,0.188430
0.627988,0.040555,-1.130891,0.187325
0.628982,0.039561,-1.132544,0.186581
0.629977,0.039541,-1.131907,0.184969
0.630973,0.038525,-1.132471,0.183884
0.631970,0.038525,-1.131595,0.183772
0.632963,0.038505,-1.130726,0.182671
0.633958,0.038506,-1.129564,0.182490
0.634953,0.038506,-1.128333,0.182381
0.635948,0.039520,-1.128030,0.183174
0.636943,0.040515,-1.126949,0.183116
