#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
32265699108,-1.761454010009765625e+01,-9.440680742263793945e-01,-7.386061191558837891e+00,9.991151257304861089e-01,3.448785133145274972e-03,-4.190265950680777812e-02,-1.112898879862228617e-03
32365799208,-1.895413398742675781e+01,-1.001919865608215332e+00,-7.944880485534667969e+00,9.991138612557323162e-01,3.357056572679260539e-03,-4.193963992564796878e-02,-1.135350490506167181e-03
32465899308,-2.038014221191406250e+01,-1.059576392173767090e+00,-8.597969055175781250e+00,9.991191502927319057e-01,3.251692938742273189e-03,-4.182120733770777060e-02,-1.156126367634933072e-03
32565999408,-2.183629608154296875e+01,-1.179715156555175781e+00,-9.226484298706054688e+00,9.990326772136401967e-01,4.813234326560594106e-03,-4.370068763072861712e-02,-8.902444978717624765e-04
32666099508,-2.336347198486328125e+01,-1.243137359619140625e+00,-9.846618652343750000e+00,9.990308917558466950e-01,4.725603404144378648e-03,-4.375074447395252419e-02,-9.046258670961114306e-04
32766199608,-2.495100402832031250e+01,-1.304433465003967285e+00,-1.048678112030029297e+01,9.990290959205463395e-01,4.637971967419125124e-03,-4.380080086246070786e-02,-9.190016389159753754e-04
32866299708,-2.659506797790527344e+01,-1.361566781997680664e+00,-1.115087604522705078e+01,9.990272901001487904e-01,4.550331638999774442e-03,-4.385084936133464700e-02,-9.333420691359826200e-04
32966399808,-2.829939842224121094e+01,-1.409865379333496094e+00,-1.183934402465820312e+01,9.990256042044969309e-01,4.458349025542223190e-03,-4.389831998908748367e-02,-9.501420641437193729e-04
33066499908,-3.006022453308105469e+01,-1.439145565032958984e+00,-1.255313205718994141e+01,9.990237791629962283e-01,4.370556348019386146e-03,-4.394834156190264435e-02,-9.644573872586534747e-04
33166600009,-3.187678146362304688e+01,-1.434333682060241699e+00,-1.328145408630371094e+01,9.990219440014104224e-01,4.282681001416017465e-03,-4.399836531038742865e-02,-9.787221753432939330e-04
33266700109,-3.373302841186523438e+01,-1.380771398544311523e+00,-1.401937103271484375e+01,9.990200986043049625e-01,4.194767891059224089e-03,-4.404838860883393548e-02,-9.929591885610214701e-04
33366800209,-3.561656951904296875e+01,-1.283818721771240234e+00,-1.474095916748046875e+01,9.990182429899195915e-01,4.106890128542727003e-03,-4.409840400592715537e-02,-1.007169765268484032e-03
33466900309,-3.751222991943359375e+01,-1.155510663986206055e+00,-1.542949485778808594e+01,9.990163772598051883e-01,4.019065412097645555e-03,-4.414840777932792920e-02,-1.021357164762790948e-03
33567000409,-3.941191482543945312e+01,-9.982796907424926758e-01,-1.607247352600097656e+01,9.990148337951090252e-01,3.927241464047901386e-03,-4.419117329628763358e-02,-1.038669587078214912e-03
33667100509,-4.130259704589843750e+01,-8.117010593414306641e-01,-1.666604423522949219e+01,9.990129462005333805e-01,3.839452751346480834e-03,-4.424119100331078136e-02,-1.053064532148666969e-03
33767200609,-4.318778991699218750e+01,-5.931461453437805176e-01,-1.719420623779296875e+01,9.990110479640919028e-01,3.751646991061566121e-03,-4.429121351967942044e-02,-1.067518381814586180e-03
33867300709,-4.507711410522460938e+01,-3.349687159061431885e-01,-1.764909172058105469e+01,9.990091392245192825e-01,3.663836086368532727e-03,-4.434123773620799597e-02,-1.081982919609125173e-03
33967400809,-4.698461532592773438e+01,-5.604987218976020813e-02,-1.806133460998535156e+01,9.990695142217224101e-01,3.514656129906591243e-03,-4.298310480473177542e-02,-4.534825306258295232e-04
34067500909,-4.891120147705078125e+01,2.394162118434906006e-01,-1.839180374145507812e+01,9.990147643410032252e-01,3.829268388944484947e-03,-4.420613735127135874e-02,-8.091679527302549991e-04
34167601010,-5.085700607299804688e+01,5.790297985076904297e-01,-1.866000366210937500e+01,9.990129537383192204e-01,3.749612985748022528e-03,-4.425369713599000554e-02,-8.178968713188985735e-04
34267701110,-5.282767105102539062e+01,9.380840063095092773e-01,-1.891087341308593750e+01,9.990111345724984604e-01,3.669970826021575188e-03,-4.430125281354301003e-02,-8.266277614897133254e-04
34367801210,-5.482259368896484375e+01,1.310803174972534180e+00,-1.916299057006835938e+01,9.990093066468879179e-01,3.590331862152620554e-03,-4.434880966600799473e-02,-8.353629344261257524e-04
34467901310,-5.684385299682617188e+01,1.695227026939392090e+00,-1.942586135864257812e+01,9.990074699117201806e-01,3.510698954998157841e-03,-4.439636828740976121e-02,-8.441186643024098856e-04
34568001410,-5.888945007324218750e+01,2.083915472030639648e+00,-1.971948242187500000e+01,9.990057859630536718e-01,3.427482907549424425e-03,-4.444056073576554272e-02,-8.535424712710870361e-04
34668101510,-6.096056747436523438e+01,2.473269939422607422e+00,-2.004409027099609375e+01,9.990869002202169558e-01,3.458373425239285454e-03,-4.254924809372545580e-02,-1.722483169251756620e-03
34768201610,-6.306660461425781250e+01,2.859231233596801758e+00,-2.039238929748535156e+01,9.991372636575764909e-01,4.035605267004103991e-03,-4.129656453077708289e-02,-1.742417554693958745e-03
34868301710,-6.520847320556640625e+01,3.246296167373657227e+00,-2.075390052795410156e+01,9.991212599727099519e-01,4.311897117579907047e-03,-4.165973312699775694e-02,-1.606875719966440645e-03
